State    wMAROut	wPCOut		wNPCOut		CNVZ	wALUOut		wMDROut		BCOND     	Time
  0             0	   xxxxxxxx	xxxxxxxx	xxxx	xxxxxxxx	00000082	x	                   0
  3            24	   0000001c	0000001c	0001	ffffffd4	00000007	0	                 377
  4            24	   0000001c	00000020	0001	ffffffd4	00000007	0	                 379
  1            24	   0000001c	00000020	0001	xxxxxxxx	00000007	0	                 381
  2            28	   0000001c	00000020	0001	0000001c	00000007	0	                 383
  3            28	   00000020	00000020	0001	xxxxxxxx	00000007	0	                 385
  4            28	   00000020	00000024	0001	xxxxxxxx	00000007	0	                 387
 10            28	   00000020	00000024	0001	00000000	00000007	0	                 389
  1            28	   00000020	00000024	0001	00000000	00000007	0	                 391
  2            32	   00000020	00000024	0001	00000020	00000007	0	                 393
  3            32	   00000024	00000024	0001	00000000	00000007	0	                 395
  4            32	   00000024	00000028	0001	00000000	00000007	0	                 397
 35            32	   00000024	00000028	0001	00000000	00000007	0	                 399
 26            45	   00000024	00000028	0001	0000002d	00000007	0	                 401
 27            45	   00000024	00000028	0001	000000af	000000af	0	                 403
 28            45	   00000024	00000028	0001	00000000	000000af	0	                 405
  1            45	   00000024	00000028	0001	00000000	000000af	0	                 407
  2            36	   00000024	00000028	0001	00000024	000000af	0	                 409
  3            36	   00000028	00000028	0001	00000000	000000af	0	                 411
  4            36	   00000028	0000002c	0001	00000000	000000af	0	                 413
 49            36	   00000028	0000002c	0001	00000000	000000af	1	                 415
 50            40	   00000028	0000002c	0001	00000028	000000af	1	                 417
  2            40	   00000028	00000030	0001	00000000	000000af	1	                 419
  3            40	   00000030	00000030	0001	00000000	000000af	1	                 421
  4            40	   00000030	00000034	0001	00000000	000000af	1	                 423
 10            40	   00000030	00000034	0001	00000000	000000af	0	                 425
  1            40	   00000030	00000034	0001	00000000	000000af	0	                 427
  2            48	   00000030	00000034	0001	00000030	000000af	0	                 429
  3            48	   00000034	00000034	0001	00000000	000000af	0	                 431
  4            48	   00000034	00000038	0001	00000000	000000af	0	                 433
 49            48	   00000034	00000038	0001	00000000	000000af	1	                 435
 50            52	   00000034	00000038	0001	00000034	000000af	1	                 437
  2            52	   00000034	00000030	0001	00000000	000000af	1	                 439
  3            52	   00000030	00000030	0001	00000000	000000af	1	                 441
  4            52	   00000030	00000034	0001	00000000	000000af	1	                 443
 10            52	   00000030	00000034	0001	00000000	000000af	0	                 445
  1            52	   00000030	00000034	0001	00000000	000000af	0	                 447
  2            48	   00000030	00000034	0001	00000030	000000af	0	                 449
  3            48	   00000034	00000034	0001	00000000	000000af	0	                 451
  4            48	   00000034	00000038	0001	00000000	000000af	0	                 453
 49            48	   00000034	00000038	0001	00000000	000000af	1	                 455
 50            52	   00000034	00000038	0001	00000034	000000af	1	                 457
  2            52	   00000034	00000030	0001	00000000	000000af	1	                 459
  3            52	   00000030	00000030	0001	00000000	000000af	1	                 461
  4            52	   00000030	00000034	0001	00000000	000000af	1	                 463
